x;y
120;-116
120;-112
120;-109
120;-106
120;-104
120;-99
120;-97
120;-94
120;-93
120;-93
120;-93
120;-93
120;-93
120;-86
120;-81
120;-77
120;-67
120;-65
120;-65
120;-65
120;-65
120;-65
120;-64
120;-60
120;-53
120;-49
120;-46
120;-42
120;-39
120;-32
120;-29
120;-25
120;-22
120;-15
120;-11
120;-8
120;-4
120;2
120;5
120;9
120;12
120;19
120;22
120;25
120;28
120;35
120;38
120;41
120;44
120;49
120;51
120;54
120;56
120;61
120;64
120;66
120;69
120;73
120;75
120;77
120;79
120;84
120;87
120;90
120;93
120;100
120;103
120;103
120;103
120;103
120;103
120;103
120;105
120;109
120;111
120;113
120;115
120;115
120;115
120;115
120;115
120;115
120;115
120;115
120;115
