x;y
-158;-115
-158;-112
-158;-108
-158;-104
-158;-101
-158;-101
-158;-101
-158;-101
-158;-101
-158;-101
-158;-101
-158;-101
-158;-101
-158;-101
-158;-101
-158;-101
-158;-101
-158;-101
-158;-101
-158;-101
-158;-101
-158;-101
-158;-101
-158;-101
-158;-101
-158;-101
-158;-101
-158;-101
-153;-101
-153;-101
-146;-101
-138;-101
-136;-101
-136;-101
-136;-101
-136;-97
-136;-94
-136;-87
-132;-84
-125;-82
-121;-82
-117;-82
-114;-82
-110;-82
-103;-82
-99;-82
-95;-82
-92;-82
-89;-82
-84;-82
-82;-82
-79;-82
-77;-82
-70;-82
-66;-82
-62;-82
-59;-82
-52;-82
-48;-82
-44;-82
-41;-82
-33;-82
-30;-82
-26;-82
-22;-82
-15;-82
-11;-82
-4;-82
-1;-82
2;-82
6;-82
9;-82
13;-82
20;-82
24;-82
28;-82
31;-82
39;-82
42;-82
50;-82
50;-82
53;-82
61;-82
64;-82
71;-82
75;-82
79;-82
86;-82
90;-81
94;-79
98;-77
105;-74
108;-72
111;-71
114;-71
121;-71
124;-71
126;-71
126;-71
126;-71
126;-71
126;-71
126;-71
126;-71
126;-71
126;-71
126;-71
126;-71
