x;y
126;-71
126;-67
126;-64
126;-61
126;-58
126;-51
126;-51
126;-51
126;-51
126;-51
126;-51
126;-48
126;-41
126;-41
126;-34
126;-31
126;-30
126;-30
126;-30
126;-30
124;-30
116;-30
113;-30
105;-30
101;-30
97;-29
94;-25
90;-22
87;-19
83;-15
76;-9
73;-5
69;-2
62;5
58;9
54;12
51;15
44;22
40;25
39;32
47;32
52;30
61;26
65;24
70;21
74;19
82;18
86;18
85;18
81;18
73;18
69;18
66;18
62;18
58;18
50;18
47;18
43;18
35;18
31;18
27;18
24;18
20;18
16;18
9;22
5;26
2;29
-4;36
-7;40
-11;43
-17;50
-24;57
-27;60
-34;67
-38;71
-41;74
-45;78
-54;83
-65;83
-71;83
-76;83
-81;83
-90;83
-93;83
-97;83
-101;83
-108;83
-111;83
-114;83
-117;83
-123;83
-126;84
-128;89
-130;93
-135;102
-137;106
-139;111
-139;114
-139;122
-139;125
-139;129
-139;130
-139;130
-139;130
-139;130
-139;130
-139;130
-139;130
-139;130
-139;130
-139;130
-139;130
-139;130
-139;130
-139;130
-137;130
-133;130
-126;130
-122;130
-119;130
-120;130
-127;130
-130;130
-134;130
-137;130
-135;130
-131;130
-127;130
-124;130
-120;130
-122;130
-126;130
-130;130
-133;130
-137;129
-145;125
-150;123
-158;119
-162;117
-166;117
-170;117
-173;117
-177;117
-180;117
-185;113
-180;111
