x;y
-172;107
-163;104
-163;104
-163;107
-163;114
-163;117
-163;121
-163;125
-163;127
-163;127
-163;127
-163;126
-163;120
-163;115
-163;112
-163;110
-163;110
-163;110
-163;110
-163;110
-163;110
-162;110
-156;110
-152;110
-149;110
-146;110
-143;110
-142;110
-142;110
-142;110
-142;110
-139;110
-136;110
-133;110
-130;110
-123;110
-122;110
-122;110
-122;110
-122;110
-122;110
-121;110
-114;110
-111;110
-104;110
-103;110
-103;110
-103;110
-103;110
-103;110
-102;110
-98;110
-95;110
-87;110
-84;110
-81;110
-81;110
-81;110
-81;110
-81;110
-81;110
-81;113
-81;115
-81;118
-81;120
-81;123
-81;125
-81;126
-81;126
-81;122
-81;119
-81;117
-81;114
-81;111
-81;111
-81;111
-81;111
-81;111
-81;111
-81;111
-81;111
-81;111
-81;111
-81;111
-81;111
-78;111
-75;111
-73;111
-68;111
-66;111
-66;111
-66;111
-66;111
-66;111
-66;111
-63;111
-59;111
-56;111
-50;111
-46;111
-46;111
-46;111
-46;111
-46;111
-46;111
-43;111
-38;111
-29;111
-19;111
-17;111
-17;111
-17;111
-17;111
-17;111
-17;111
-10;111
-1;111
3;111
8;111
11;111
11;111
11;111
11;111
11;111
12;111
19;111
23;111
27;111
30;111
39;111
44;111
48;111
53;111
62;111
65;111
67;111
70;111
72;111
77;111
80;111
82;111
87;111
90;111
92;111
98;111
101;111
104;111
108;111
114;111
116;111
116;111
116;111
116;111
116;111
116;111
116;111
116;111
116;111
124;111
