date;time;x;y;fx;fy
09/12/2022;11:21:42.621;120;-116;-42;202
09/12/2022;11:21:42.668;120;-112;-42;202
09/12/2022;11:21:42.730;120;-109;-48;202
09/12/2022;11:21:42.793;120;-106;-48;146
09/12/2022;11:21:42.855;120;-104;-48;146
09/12/2022;11:21:42.918;120;-99;-48;146
09/12/2022;11:21:42.980;120;-97;-48;146
09/12/2022;11:21:43.043;120;-94;0;146
09/12/2022;11:21:43.105;120;-93;0;52
09/12/2022;11:21:43.168;120;-93;0;52
09/12/2022;11:21:43.230;120;-93;0;52
09/12/2022;11:21:43.293;120;-93;0;52
09/12/2022;11:21:43.355;120;-93;-32;52
09/12/2022;11:21:43.418;120;-86;-32;244
09/12/2022;11:21:43.480;120;-81;-32;244
09/12/2022;11:21:43.543;120;-77;-32;244
09/12/2022;11:21:43.605;120;-67;-32;244
09/12/2022;11:21:43.668;120;-65;0;58
09/12/2022;11:21:43.731;120;-65;0;58
09/12/2022;11:21:43.793;120;-65;0;58
09/12/2022;11:21:43.856;120;-65;0;58
09/12/2022;11:21:43.918;120;-65;0;58
09/12/2022;11:21:43.980;120;-64;-54;359
09/12/2022;11:21:44.043;120;-60;-54;359
09/12/2022;11:21:44.121;120;-53;-54;359
09/12/2022;11:21:44.168;120;-49;-54;359
09/12/2022;11:21:44.231;120;-46;-54;359
09/12/2022;11:21:44.293;120;-42;-28;207
09/12/2022;11:21:44.356;120;-39;-28;207
09/12/2022;11:21:44.418;120;-32;-28;207
09/12/2022;11:21:44.481;120;-29;-28;207
09/12/2022;11:21:44.543;120;-25;-28;207
09/12/2022;11:21:44.606;120;-22;-37;271
09/12/2022;11:21:44.668;120;-15;-37;271
09/12/2022;11:21:44.731;120;-11;-37;271
09/12/2022;11:21:44.793;120;-8;-37;271
09/12/2022;11:21:44.856;120;-4;-37;271
09/12/2022;11:21:44.918;120;2;-49;214
09/12/2022;11:21:44.981;120;5;-49;214
09/12/2022;11:21:45.043;120;9;-49;214
09/12/2022;11:21:45.106;120;12;-49;214
09/12/2022;11:21:45.168;120;19;-49;214
09/12/2022;11:21:45.231;120;22;-58;200
09/12/2022;11:21:45.293;120;25;-58;200
09/12/2022;11:21:45.356;120;28;-58;200
09/12/2022;11:21:45.418;120;35;-58;200
09/12/2022;11:21:45.481;120;38;-58;200
09/12/2022;11:21:45.543;120;41;-62;167
09/12/2022;11:21:45.606;120;44;-62;167
09/12/2022;11:21:45.668;120;49;-62;167
09/12/2022;11:21:45.731;120;51;-62;167
09/12/2022;11:21:45.793;120;54;-62;167
09/12/2022;11:21:45.856;120;56;-67;159
09/12/2022;11:21:45.934;120;61;-67;159
09/12/2022;11:21:45.996;120;64;-67;159
09/12/2022;11:21:46.043;120;66;-67;159
09/12/2022;11:21:46.106;120;69;-67;159
09/12/2022;11:21:46.168;120;73;-57;121
09/12/2022;11:21:46.231;120;75;-57;121
09/12/2022;11:21:46.293;120;77;-57;121
09/12/2022;11:21:46.356;120;79;-57;121
09/12/2022;11:21:46.418;120;84;-68;197
09/12/2022;11:21:46.481;120;87;-68;197
09/12/2022;11:21:46.559;120;90;-68;197
09/12/2022;11:21:46.606;120;93;-68;197
09/12/2022;11:21:46.668;120;100;-68;197
09/12/2022;11:21:46.731;120;103;-78;96
09/12/2022;11:21:46.793;120;103;-78;96
09/12/2022;11:21:46.856;120;103;-78;96
09/12/2022;11:21:46.918;120;103;-78;96
09/12/2022;11:21:46.981;120;103;-78;96
09/12/2022;11:21:47.043;120;103;-78;96
09/12/2022;11:21:47.106;120;105;-101;137
09/12/2022;11:21:47.168;120;109;-101;137
09/12/2022;11:21:47.246;120;111;-101;137
09/12/2022;11:21:47.293;120;113;-101;137
09/12/2022;11:21:47.356;120;115;-101;137
09/12/2022;11:21:47.418;120;115;-84;86
09/12/2022;11:21:47.496;120;115;-84;86
09/12/2022;11:21:47.543;120;115;-84;86
09/12/2022;11:21:47.606;120;115;-84;86
09/12/2022;11:21:47.668;120;115;-100;99
09/12/2022;11:21:47.731;120;115;-100;99
09/12/2022;11:21:47.793;120;115;-100;99
09/12/2022;11:21:47.856;120;115;-100;99
09/12/2022;11:21:47.918;120;115;-100;99
09/12/2022;11:21:47.981;118;115;-157;38
09/12/2022;11:21:48.043;116;115;-157;38
09/12/2022;11:21:48.106;113;115;-157;38
09/12/2022;11:21:48.168;109;115;-157;38
09/12/2022;11:21:48.231;106;115;-157;38
09/12/2022;11:21:48.309;104;115;-176;0
09/12/2022;11:21:48.371;98;115;-176;0
09/12/2022;11:21:48.434;95;115;-176;0
09/12/2022;11:21:48.512;92;115;-176;0
09/12/2022;11:21:48.559;89;115;-176;-305
09/12/2022;11:21:48.637;82;106;-424;-305
09/12/2022;11:21:48.668;77;101;-424;-305
09/12/2022;11:21:48.731;72;96;-424;-305
09/12/2022;11:21:48.793;68;92;-424;-305
09/12/2022;11:21:48.856;63;87;-424;-391
09/12/2022;11:21:48.918;56;78;-152;-391
09/12/2022;11:21:48.981;54;73;-152;-391
09/12/2022;11:21:49.043;52;69;-152;-391
09/12/2022;11:21:49.106;50;65;-152;-391
09/12/2022;11:21:49.168;45;56;-173;-386
09/12/2022;11:21:49.231;43;51;-173;-386
09/12/2022;11:21:49.293;41;47;-173;-386
09/12/2022;11:21:49.356;38;42;-173;-386
09/12/2022;11:21:49.418;34;34;-173;-386
09/12/2022;11:21:49.481;31;29;-173;-436
09/12/2022;11:21:49.543;27;24;-278;-436
09/12/2022;11:21:49.606;22;20;-278;-436
09/12/2022;11:21:49.668;13;10;-278;-436
09/12/2022;11:21:49.747;8;5;-278;-436
09/12/2022;11:21:49.793;3;1;-278;-436
09/12/2022;11:21:49.856;-1;-3;-293;-436
09/12/2022;11:21:49.919;-10;-13;-293;-436
09/12/2022;11:21:49.981;-15;-17;-293;-436
09/12/2022;11:21:50.043;-20;-22;-293;-436
09/12/2022;11:21:50.106;-24;-27;-293;-450
09/12/2022;11:21:50.168;-32;-34;-222;-450
09/12/2022;11:21:50.231;-35;-38;-222;-450
