x;y
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-118
120;-116
120;-112
120;-110
120;-108
120;-106
120;-100
120;-97
120;-94
120;-91
120;-85
120;-83
120;-80
120;-78
120;-73
120;-70
120;-68
120;-65
120;-60
120;-58
120;-55
120;-53
120;-48
120;-45
120;-43
120;-40
120;-35
120;-32
120;-30
120;-27
120;-22
120;-20
120;-17
120;-15
120;-10
120;-7
120;-5
120;-2
120;2
120;4
120;6
120;8
120;12
120;14
120;16
120;18
120;22
120;24
120;26
120;28
120;28
120;28
120;28
120;28
120;30
120;32
120;34
120;36
120;40
120;40
120;40
120;40
120;40
120;40
120;44
120;49
120;58
120;63
120;68
120;71
120;75
120;77
120;79
120;81
120;87
120;91
120;94
120;97
120;103
120;103
120;103
120;103
120;103
120;103
120;103
120;103
120;103
120;103
120;103
120;103
120;103
120;103
120;103
120;103
120;103
120;103
120;103
120;103
120;103
120;106
120;110
120;115
120;125
120;129
120;130
120;130
120;130
120;130
120;130
