x;y
120;130
120;130
120;130
120;130
120;130
120;129
120;122
120;119
120;116
120;112
120;109
120;109
120;109
120;109
120;109
120;109
120;109
116;109
105;109
99;109
94;109
89;109
83;109
81;109
78;109
76;108
72;104
72;102
72;99
72;97
72;91
71;87
69;82
66;78
62;69
60;65
57;60
52;56
43;46
38;42
35;38
31;35
24;28
20;24
17;21
13;17
6;11
3;7
0;4
-3;1
-10;-5
-14;-8
-17;-12
-20;-15
-27;-22
-31;-25
-34;-28
-38;-32
-45;-38
-49;-41
-53;-43
-58;-46
-66;-50
-71;-52
-75;-55
-78;-58
-85;-65
-89;-68
-92;-72
-96;-74
-103;-74
-107;-74
-111;-74
-115;-74
-123;-79
-128;-84
-131;-87
-138;-94
-141;-97
-144;-102
-147;-107
-155;-114
-158;-117
-162;-121
-166;-123
-175;-128
-179;-130
-182;-130
-186;-130
-194;-130
-196;-130
-198;-130
-200;-130
-202;-130
-206;-130
-207;-130
-207;-130
-207;-130
